abk;Abcázio
ijo;Ijo (Línguas)
ilo;Ilokano
ilo;Iloko
smn;Inari Sami
und;Indeterminada (Língua)
inc;índicas (Outras línguas)
cai;Indígenas da América Central (outras línguas)
nai;Indígenas Norte-Americanas (Outras línguas)
sai;Indígenas Sul-Americanas (Outras línguas)
ine;Indo-europeias (Outras línguas)
ind;Indonésias (Línguas)
eng;Inglês
ang;Inglês antigo (ca 450-1100)
enm;Inglês medieval (ca 1100-1500)
inh;Inguche
ina;Interlingua (International Auxiliary Language Association)
ile;Interlingue
iku;Inuktitut
ipk;Inupiaq
ira;Irânicas (Outras línguas)
gle;Irlandês
sga;Irlandês antigo (até 900)
mga;Irlandês médio (ca 900-1200)
iro;Iroquês (Outras línguas)
xho;Isi-Xosa
ice;Islandês
ita;Italiano
myn;Jacalteca
jpn;Japonês
jav;Javanês
kaw;Javanês antigo
jrb;Judeo-árabe
lad;Judeo-espanhol
yid;Judeo-germânico
jpr;Judeo-persa
kab;Kabila
kac;Kachin
xho;Kafir
xal;Kalmyk
kam;Kamba
doi;Kangri
kan;Kannada
kau;Kanuri
krc;Karachai-Balkar
kaa;Karakalpak
kar;Karen (Línguas)
kas;Kashmiri
ath;Kaska
ath;Kawchottine
kaw;Kawi
kaz;Kazakh
que;Kechua
myn;Kekchi
paa;Kewa
kha;Khasi
khm;Khmer Central
khi;Khoisan (Outras línguas)
kho;Khotanês
kik;Kinkuyu
kin;Kinyarwanda
ath;Kiowa Apache
kir;Kirghiz
run;Kirundi
tlh;Klingon
kom;Komi
kos;Kosraen
ath;Koyukon
kpe;Kpelle
kro;Kru
kua;Kuanyema
kum;Kumyk
kru;Kurukh
kos;Kusai
gwi;Kutchin
kut;Kutenai
wak;Kwakiuti
myn;Lacandon Maia
lad;Ladino
lah;Lahndas (Línguas)
dak;Lakota
sco;Lallans
lam;Lamba (Zâmbia e Congo)
lah;Landas (Línguas)
nor;Landsmaal
lao;Lao
smi;Lapão
lat;Latim
lav;Letão
lez;Lezgui
sal;Lilloet
lim;Limburguês
lin;Lingala
oci;Língua d'Oc (pós 1500)
sgn;Línguas gestuais
mis;Línguas não codificadas
lit;Lituano
jbo;Lojban
lol;Lolo (Bantu)
loz;Lozi
lub;Luba
lua;Luba-Lulua
lug;Luganda
lui;Luiseno
smj;Lule Sami
lun;Lundês
luo;Luo (Quénia e Tanzânia)
lus;Lushai
ltz;Luxemburguês
mac;Macedónio
mad;Madurês
mag;Magahi
hun;Magiar
myn;Maia (Língua)
mai;Maithili
mak;Makazar
mal;Malaialam
may;Malaio
map;Malaio-polinésias (Outras línguas)
mal;Malayalam
div;Maldívio
alg;Malecite
mlg;Malgaxe
mlt;Maltês
mnc;Manchu
sio;Mandan
mdr;Mandar
man;Mandingo (Grupo)
glv;Manés (Língua céltica da ilha de Man)
mni;Manipuri
mno;Manobo (Línguas)
mao;Maori
mar;Marata
chm;Mari
mah;Marshalês
mwr;Marwari
sna;Mashona
mas;Massai
oto;Matlatzinca
oto;Mazahua
umb;Mbundu (Distrito de Benguela)
men;Mende (Grupo)
alg;Menomin
mic;Micmac
ita;Italiano
min;Mingangkobau
mwl;Mirandês
moh;Mohawk
alg;Mohegan
mdf;Moksha
mol;Moldávio
lol;Mongo
mon;Mongólico
mkh;Mon-Khmer (Outras línguas)
chp;Montagnais (Atapasca)
cre;Montagnais (Crec)
myn;Mopan Maia
mos;More
mos;Mossi (Grupo)
mul;Multilingue
mun;Mundas (Outras línguas)
mus;Muskogee
nqo;N'Ko
bho;Nagpuria
nah;Nahuatlan
ssa;Nandi
umb;Nano
mis;Não codificadas, Línguas
und;Não determinada
nap;Napolitano
cre;Nascape
nau;Nauruano
nav;Navajo
nde;Ndebele do Norte (Zimbabué)
nbl;Ndebele do Sul
ndo;Ndonga
dut;Neerlandês
syr;Neo-Siríaco
nep;Nepalês
new;Newari
nwc;Newari clássico
map;Nguna
nia;Nias
nic;Niger-congolesas (Línguas)
ssa;Nilo-saharianas (Outras línguas)
wak;Nitinat
niu;Niuean
nog;Nogai
wak;Nootka
non;Nórdico antigo (ou Norueguês antigo)
nor;Norueguês
nno;Norueguês, Novo
nno;Novo norueguês
sal;Ntlakyapamuk
nub;Nuba
nub;Núbia
nym;Nyamwezi
bnt;Nyanga
nya;Nyanja
nyn;Nyankole
nyo;Nyoro
nzi;Nzima
pro;Occitano antigo (até 1500)
oci;Occitano moderno (pós 1500)
oto;Ocuiltec
sio;Ofogoula
xal;Oirat
oji;Ojibwa
sal;Okinagan
iro;Oneida
iro;Onondaga
ori;Oriía
ori;Oriya
orm;Oromo
osa;Osage
ota;Osmanli
oss;Osseto
sel;Ostíaco-samoiédico
oto;Otomi
oto;Otomianas (Línguas)
oji;Ottawa
umb;Ovimbundo
pus;Pachto
pal;Pahlavi
pau;Palauan
pal;Pálavi
pli;Páli
oto;Pame
pam;Pampanga
pag;Pangasinan
pap;Papiamento
paa;Papuas (Outras línguas)
alg;Passamaquoddy
pan;Pendjabi
alg;Penobscot
peo;Persa antigo (ca 600 A.C. - 400 A.C.)
pal;Persa médio
per;Persa moderno
bla;Pés Negros
pol;Polaco
mul;Poliglota
pon;Ponape
por;Português
alg;Potawatomi
pra;Prácrito
pro;Provençal (até 1500)
pro;Provençal antigo (até 1500)
oci;Provençal moderno (pós 1500)
pus;Puchtu
pan;Punjabi
lah;Punjabi de Oeste
que;Quéchua
myn;Quiché
kmb;Quimbundo
kir;Quirguiz
raj;Rajastani
rap;Rapanui
rar;Rarotongan
qaa-qtz;Reservado para uso local
roh;Rético
roh;Reto-românico
nor;Riksmaal
roh;Romanche
rom;Romani (falares ciganos)
roa;Românicas (Outras línguas)
rum;Romeno
kin;Ruanda
run;Rundi
rus;Russo
sla;Russo antigo (até 1300)
ukr;Ruteniano
kho;Saka
sal;Salish
sal;Salishan (Línguas)
oji;Salteaux
sam;Samaritano aramaico
smi;Sami (Outras línguas)
sme;Sami do Norte
sma;Sami do Sul
smn;Sami, Inari
smj;Sami, Lule
sms;Sami, Skolt
smo;Samoano
sel;Samoiédico-ostíaco
sad;Sandawe
sag;Sango
san;Sânscrito
sat;Santali
dak;Santee
srd;Sardo
ath;Sarsa
sas;Sasak
sal;Sechelt
tsn;Sechuana
lad;Sefardita
ath;Sekani-Beaver
sel;Selkup
zxx;Sem conteúdo linguístico
sem;Semíticas (Outras línguas)
iro;Seneca
srr;Serer
scc;Sérvio
sot;Sesuto
sna;Shona
sal;Shuswap
tai;Siamês
iii;Sichuan Yi
scn;Siciliano
sid;Sidamo
bla;Siksika
snd;Sindhi
snd;Sindi
sit;Sino-tibetanas (Outras línguas)
sio;Siouan (Línguas)
dak;Sioux
syr;Siríaco (moderno)
syc;Síriaco clássico
sms;Skolt Sami
den;Slave
sog;Sogdian
som;Somali
son;Songhai
snk;Soninke
wen;Sorábias (Outras línguas)
wen;Sorábico
hsb;Sorábio, Alto
dsb;Sorábio, Baixo
wen;Sórbias (Outras línguas)
wen;Sórbico
sot;Sotho
nso;Sotho do Norte
sal;Squawmish
ssw;Suázi
nic;Sudanês (Grupo)
swe;Sueco
gem;Sueco antigo (até 1550)
gsw;Suíço-alemão
suk;Sukuma
sux;Sumeriano
sun;Sundanês
srn;Surinamês
elx;Susian
sus;Susu
swa;Swahili
tgk;Tadzhik
tgl;Tagalo
ath;Tagish
ath;Tahltan
tai;Tai (Outras línguas)
tha;Tailandês
tah;Taitiano
tgk;Tajique
tmh;Tamashek
tam;Tamil
tat;Tártaro
crh;Tártaro da Crimeia
che;Tchetcheno
chv;Tchuvash
tel;Télugo
tem;Temne
ter;Tereno
tet;Tétum
dak;Teton
dgr;Thlingchadinne
sal;Thomson
tib;Tibetano
tig;Tigre
tir;Tigrina
tiv;Tiv
tli;Tlingit
tpi;Tok Pisin
ton;Tonga (Ilhas Tonga)
tog;Tonga (Nyasa)
tkl;Toquelauano
chk;Truk
ath;Tsattine
ath;Tsilkotin
tsi;Tsimshian
tso;Tsonga
tsn;Tswana
tum;Tumbuka
tup;Tupi (Línguas)
tur;Turco
crh;Turco crimeano
ota;Turco otomano (1500-1928)
tuk;Turcomano
iro;Tuscarora
sio;Tutelo
tvl;Tuvaluano
tyv;Tuvinian
twi;Twi
myn;Tzeltal
myn;Tzotzil
ukr;Ucraniano
udm;Udmurte
uga;Ugarítico
uig;Uigur
ath;Umpqua superior
wol;Uolof
urd;Urdo
uzb;Usbeque
vai;Vai
wln;Valão
cat;Valenciano
san;Védico
ven;Venda
wen;Vêndico
vie;Vietnamita
vol;Volapuk
vot;Votiano
vot;Vótico
wak;Wakashan (Línguas)
war;Waray
was;Washo
sio;Winnebago
wal;Wolaita
wol;Wolof
xho;Xosa
sah;Yakut
dak;Yankton
yao;Yao (Bantu)
bem;Yao-Bemba
yap;Yap
yid;Yídiche
yor;Yoruba
ypk;Yupik (Línguas)
znd;Zande (Línguas)
zap;Zapoteco
zza;Zazaki
zen;Zenaga
zha;Zhuang
zul;Zulu
zun;Zuni
